License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
403-00303,LEVELS IV INC,Levels IV Inc.,Medical Marijuana Cultivation,3857 North Elm Street,Denver,CO,80207,2024-09-03,39.770367,-104.929404
403-00283,LEVELS IV INC,Levels IV Inc,Medical Marijuana Cultivation,4905 East 41st Avenue,Denver,CO,80216,2024-09-03,39.7746409,-104.9303584
403-01384,LEVELS IV INC,Levels IV Inc.,Medical Marijuana Cultivation,4980 North Monroe Street,Denver,CO,80216,2024-09-03,39.775704,-104.945285
403-00378,LIGHTSHADE LABS LLC,Lightshade,Medical Marijuana Cultivation,3950 North Holly Street,Denver,CO,80207,2024-09-03,39.7231786,-104.9227856
403-00362,LIGHTSHADE LABS LLC,Lightshade,Medical Marijuana Cultivation,5885 East Evans Avenue,Denver,CO,80222,2024-09-03,39.678537,-104.9190832
403-00696,LIVWELL XIII LLC,LivWell,Medical Marijuana Cultivation,3880 North Holly Street,Denver,CO,80207,2024-09-03,39.7231786,-104.9227856
403-01096,LONG GONE FARMS LLC,Steel City Meds Medical Dispensary,Medical Marijuana Cultivation,152 East Industrial Boulevard,Pueblo West,CO,81007,2024-09-03,38.3241609,-104.6886055
403-00659,LVJS SERVICES LLC,Haylow Cannabis Company,Medical Marijuana Cultivation,327 Karen Lane,Colorado Springs,CO,80907,2024-09-03,38.8774018,-104.8273401
403-01665,MAGIC CITY FARMS 2 LLC,Magic City Cannabis,Medical Marijuana Cultivation,3819 North Quentin Street,Denver,CO,80239,2024-09-03,39.76893,-104.84483
403-00984,MAGIC CITY FARMS LLC,,Medical Marijuana Cultivation,1920 South Cherokee Street,Denver,CO,80223,2024-09-03,39.6816813,-104.9910001
403-01916,MAMMOTH FARMS LLC,Goldwater Extracts,Medical Marijuana Cultivation,50562 County Road U,Saguache,CO,81149,2024-09-03,38.01478,-106.099027
403-00527,MC STRATEGIC VENTURES LLC,Jade Kola,Medical Marijuana Cultivation,2809 North Prospect Street,Colorado Springs,CO,80907,2024-09-03,38.8701697,-104.8108656
403-01616,MC STRATEGIC VENTURES LLC,Jade Kola,Optional Premises,"3758 Astrozon Boulevard, Unit B ",Colorado Springs,CO,80910,2024-09-03,38.7961387,-104.7600493
