Name,Street,City,State,Zip,Type,Latitude,Longitude
Better Green,514 Bent Ave Las,Las Animas,CO,81054,Undisclosed,38.0675234,-103.219808
bgood,80 S Pennsylvania St,Denver,CO,80209,Medical,39.7152517,-104.9812447
bgood,11 W Hampden Ave #102,Englewood,CO,80110,Undisclosed,39.653087,-104.9878264
bgood,11450 Cherokee St,Northglenn,CO,80234,Undisclosed,39.9043869,-104.990855
BioMeds,2301 Rand Ave,Colorado Springs,CO,80905,Medical,38.79913,-104.801304
Blend,198 S Frontage Rd E,Mancos,CO,81328,Recreational,37.216806,-107.85074
Bobby Brown Best  Buds ,506 S Nevada Ave,Colorado Springs,CO,80903,Recreational,38.826628,-104.821842
la Bodega,1270 W Cedar Ave Unit A,Denver,CO,80223,Medical,39.7127783,-105.0035474
Bonfire Cannabis,132 Nevada St,Central City,CO,80247,Recreational,39.7991051,-105.5132025
Bonfire Cannabis,4837 N Washington St Suite 100,Denver,CO,80216,Medical,39.784231,-104.978374
Bonfire Cannabis,15 Colorado Blvd,Idaho Springs,CO,80452,Undisclosed,39.7443268,-105.5327816
Bonfire Cannabis,8 County Road 821,Tabernash,CO,80478,Undisclosed,39.9930433,-105.8445396
Botanico,3054 Larimer St,Denver,CO,80205,Undisclosed,39.7629066,-104.9794172
Breckenridge Organic Therapy,1900 Airport Rd,Breckenridge,CO,80424,Undisclosed,39.5086199,-106.0516365
Briargate Wellness Center,890 Dublin Blvd Unit C,Colorado Springs,CO,80918,Medical,38.9258679,-104.8105933
Boulder Wellness Center,5420 Arapahoe Ave Unit F,Boulder,CO,80303,Undisclosed,40.0141938,-105.227272
Budcardi,1325 S Inca St,Denver,CO,80223,Undisclosed,39.6925382,-104.998129
Buddy Boy,3814 Walnut St,Denver,CO,80205,Undisclosed,39.7703639,-104.9712863
Buddy Boy,4012 W 38th Ave,Denver,CO,80212,Undisclosed,39.7693073,-105.0396774
Buddy Boy,2426 S Federal Blvd,Denver,CO,80219,Undisclosed,39.672634,-105.02497
Buddy Boy,5050 York St,Denver,CO,80216,Undisclosed,39.7881759,-104.959153
Buddy Boy,155 N Federal Blvd,Denver,CO,80219,Undisclosed,39.713346,-105.025007
Buddy Boy,120 S Kalamath,Denver,CO,80223,Undisclosed,39.7143927,-104.9997619
Buddy Boy,777 Umatilla St,Denver,CO,80204,Undisclosed,39.7286468,-105.0124581
*Bud Hut,973 US Hwy 85/87 Suite 100,Walsenburg,CO,81089,Recreational,37.521304,-104.696987
Buku Loud,3079 S Academy Blvd,Colorado Springs,CO,80916,Medical,38.7877016,-104.7547023
